Actor,Rating_Actor
Prashant Narayanan,4.7875
Babu Antony,5.1
Rishi Kapoor,6.072555410691004
Sheikh Fattelal,7.300000000000001
Pankaj Tripathi,6.05
Anoop Chandran,3.2
Anubhav Dhir,5.9
Navya Nair,5.8
Srishti Gautam,7.8
Shanta Apte,6.9
Aishwarya Devan,5.45
Indrajith Sukumaran,5.95
Pooja Bhattad,7.3
Nathalia Kaur,6.8
Bunty Behl,5.3
Ankur Vikal,5.95
Bhaskar Shetty,5.0
Sohrab Ardeshir,5.75
Anil Pandey,7.6
Durgadas Bannerjee,7.0
Nandamuri Balakrishna,6.772222222222222
Tarun Arora,5.375
Dara Singh,6.683333333333333
Navin Nischol,6.530555555555555
Hemant Pandey,6.8
Ashwin Dhar,5.9
Yash Pandit,4.3
Naveen Andrews,6.5
Madhavi,6.2
Shiva Suryavanshi,8.6
Avinash Arun,7.0
Aryan Vaid,4.6
Kim Sharma,4.75
Rahul Dholakia,5.9
Ranjit Bawa,7.3
Nalini Jaywant,6.725
Monica Dogra,7.0
Akanksha Malhotra,5.4
Farogh Jafri,8.0
Siddharth Kher,6.3
Tanu Bhardwaj,8.2
Priya Gill,4.85
Rohan Dey,7.4
Puru Chibber,6.7
Vinod K. Verma,5.0
Amaresh Banerjee,7.8
Numaan Sheikh,7.8
Mukesh Agrohari,4.2
Shashank Khaitan,6.7
Gauri,7.1
Kashmira Irani,7.5
Kunal Khemu,5.800000000000001
Balakrishnan Thevar,2.4
Nikhat Khan,2.8
Radhika Apte,6.557142857142857
Upendra Limaye,5.75
Savita Bajaj,7.0
Kunal Kapoor,6.314285714285715
Nishikant Kamat,4.4
Arnali Das,6.8
Biswajit Chakraborty,5.1
Alisha Baig,3.7
Alaya F,6.6
Neelima Azim,6.5
Raymon Singh,2.6
Aditya Sharma,7.0
Mansinghms,7.3
Baby Sonu,7.8
Annapoorna,5.675
Azra,6.5
Shankar,7.0
Jackky Bhagnani,4.64
Jay Solanki,8.3
Pavail Gulati,6.8
Madhan Bob,3.6
Martin Henderson,6.2
Aseem Ali Khan,3.9
Jitendra Kumar,6.4
Sitara,7.5
Beena Banerjee,5.625
Jagat Singh Jakhar,8.3
Rajkumar,8.1
Jeet,6.300000000000001
Saif Ali Khan,5.654895104895105
David Abraham,7.050000000000001
Satish Kaushik,6.449999999999999
Sulabha Arya,6.11
Malak Shah,7.2
Mohit Arora,4.4
Jayshree Arora,4.3
Prayag Raj,6.6
Rajeev Khandelwal,5.882142857142856
Mantra Mugdh,5.4
Bhisham Sahni,7.1
Jayaram,4.2
Vijay Anand,6.491666666666667
Allan Border,3.8
Pankaj Berry,6.425000000000001
Aga Jaan,7.6
Lalu Ram,8.0
Rahul Bairagi,6.4
Daisy Bopanna,3.9
Farha Khan,5.2
Asif Basra,6.408333333333333
Ranvir Shorey,6.391071428571429
Sumeet Saigal,3.8
Amartya Ray,6.1
Pooja Batra,5.8
Natasha Doshi,3.4
Anuj Saxena,4.9
Sudhir Kumar,8.4
Kader Kashmiri,5.8
Indraneel Bhattacharya,7.3
Ambrish Sangal,7.3
Jhataleka Malhotra,4.5
Aanchal Dwivedi,6.7
Anurag Sinha,6.2
Kumud Mishra,6.5
Sasha Aagha,6.5
