Director,Rating_Director
A. Bhimsingh,6.78
A. Jagannathan,5.833333333333333
A. Kodandarami Reddy,7.2
A. Majid,5.7
A. Muthu,3.0
A. Salaam,5.866666666666667
A. Shamsheer,5.6
A.C. Trilogchander,6.475
A.K. Bir,8.2
A.L. Vijay,5.5
A.M.R. Ramesh,6.9
A.P. Nagarajan,7.3
A.P. Subbaraav,6.6
A.R. Murugadoss,6.625
A.T. Raghu,5.1
Aadish Keluskar,6.0
Aamir Bashir,6.4
Aamir Khan,8.4
Aamreeta Gautam,5.9
Aanand L. Rai,6.033333333333334
Aanand Raut,7.1
Aarti S. Bagdi,7.2
Aarun Nagar,7.0
Aaryaan Saxena,5.4
Aatish Kapadia,7.2
Aban Bharucha Deohans,6.6
Abbas,8.7
Abbas Alibhai Burmawalla,5.777777777777778
Abbas Tyrewala,6.8
Abdul Rashid Kardar,6.6
Abhay Chhabra,6.6
Abhay Chopra,5.25
Abhigyan Jha,5.8
Abhijit Kokate,4.7
Abhijit Panse,5.2
Abhimanyu Chauhan,7.7
Abhinav Kashyap,4.9
Abhinav Shiv Tiwari,6.2
Abhinav Thakur,8.6
Abhinay Deo,6.525
Abhiraj Minawala,3.0
Abhiram,3.3
Abhishek Chaubey,7.575
Abhishek Chhadha,5.266666666666667
Abhishek Dixit,5.7
Abhishek Dogra,4.85
Abhishek Jain,8.1
Abhishek Jawkar,4.3
Abhishek Kapoor,6.44
Abhishek Pathak,6.9
Abhishek Saxena,6.0
Abhishek Sharma,5.683333333333334
Abhishek Varman,5.25
Abir Sengupta,3.0
Abrar Alvi,8.3
Adam Dow,6.1
Adarsh Eshwarappa,7.9
Adarsh Jain,5.3
Adeeb Rais,5.2
Aditi Roy,7.1
Aditya Bhattacharya,7.25
Aditya Chopra,6.575
Aditya Datt,5.04
Aditya Dhar,8.2
Aditya Kripalani,7.75
Aditya Om,7.25
Aditya Sarpotdar,6.800000000000001
Aditya Warang,7.4
Adurthi Subba Rao,6.45
Advait Chandan,7.8
Afzal Ahmad,5.3
Afzal Ahmed,4.8
Afzal Khan,4.4
Agneya Singh,5.6
Ahathian,5.15
Ahishor Solomon,5.6
Ahmed Khan,3.675
Ahmed Siddiqui,6.6
Aijaz Khan,7.0
Ajai Sinha,4.233333333333333
Ajay Bahl,7.25
Ajay Bhuyan,5.4
Ajay Chandhok,3.1399999999999997
Ajay Devaloka,5.1
Ajay Devgn,6.050000000000001
Ajay Goel,5.5
Ajay Govind,6.3
Ajay K Saklani,8.2
Ajay Kanchan,3.9
Ajay Karthik,7.1
Ajay Kashyap,4.477777777777778
Ajay Kumar,6.0
Ajay Lohan,2.9
Ajay Mehra,4.2
Ajay Naik,6.5
Ajay Pannalal,5.6
Ajay Phansekar,6.1
Ajay Yadav,3.65
Ajeet Kumar,7.0
Ajit Chakraborty,6.1
Ajit Dewani,4.7
Ajit Pal Mangat,3.8
Ajit Singh Deol,6.1
Ajit Sinha,5.4
Ajita Suchitra Veera,8.1
Ajitpal Singh,6.8
Ajoy Varma,7.050000000000001
Akarsh Khurana,6.5
Akash Goila,5.8
Akash Pandey,5.5
Akashdeep,3.9333333333333336
Akbar Khan,5.0
Akhil Gautam,7.9
Akhilesh Jaiswal,5.0
Akhtar Mirza,6.7
Akiv Ali,6.6
Akshat Verma,6.3
Akshay Akkineni,6.2
Akshay Anand,4.8
Akshay Roy,6.0
Akshay Shere,6.0
Akshay Singh,8.4
Aku Akbar,3.5
Alankrita Shrivastava,5.766666666666667
Aleya Sen,3.7
Ali Abbas Zafar,5.2
Allyson Patel,5.6
Alo Sarkar,5.6
Alok Shrivastav,4.6
Amaan Khan,5.3
Aman Sachdeva,5.3
Amar Butala,3.7
Amar Kaushik,7.449999999999999
Amar Kumar,7.175
Amarjeet,6.966666666666666
Ambrish Sangal,5.75
Ameer Sultan,5.4
Amin Hajee,3.5
