Actor 1,Rating_Actor1,Actor 2,Rating_Actor2,Director,Rating_Director
A. Muthu,3.3,,,A. Muthu,3.0
A. Nairang,6.1,,,,
A.K. Hangal,6.2,A.K. Hangal,7.65,,
A.S. Ravindra Babu,4.8,,,,
Aachi Manorama,4.8,Aachi Manorama,6.1,,
Aadar Jain,5.6,,,,
Aadhi,6.6,,,,
Aadil Abedi,6.7,,,,
Aadil Chahal,5.6,,,,
Aahana Kumra,6.8,Aahana Kumra,5.9,,
Aakar Kaushik,6.2,,,,
Aakash,3.9,,,,
Aalam,6.7,,,,
Aamir,4.3,,,,
Aamir Bashir,6.233333333333333,Aamir Bashir,8.8,Aamir Bashir,6.4
Aamir Khan,6.827272727272728,Aamir Khan,6.7,Aamir Khan,8.4
Aanchal Dwivedi,6.7,,,,
Aarti S. Bagdi,9.2,,,Aarti S. Bagdi,7.2
Aaryan,4.8,,,,
Aaryan Adhikari,6.8,,,,
Aashish Bhatt,6.6,,,,
Aashish Chaudhary,5.8,Aashish Chaudhary,4.266666666666667,,
Aashish Kaul,3.6,,,,
Aasif Sheikh,4.4,,,,
Aatish Devgan,4.85,Aatish Devgan,2.9,,
Aayush Shah,4.4,,,,
Aban Raza,5.6,,,,
Abbas,5.133333333333333,,,,
Abhay Chaudhary,6.7,,,,
Abhay Deol,6.7727272727272725,Abhay Deol,6.375,,
Abhay Singhal,7.6,,,,
Abhi Bhattacharya,7.125,Abhi Bhattacharya,5.4,,
Abhijeet K.,7.2,,,,
Abhijeet Singh,6.8,,,,
Abhilasha,5.2,,,,
Abhimanyu Dasani,7.4,,,,
Abhimanyyu Abhimanyu,4.1,,,,
Abhishek,6.550000000000001,,,,
Abhishek Bachchan,5.125,Abhishek Bachchan,6.2875,,
Abhishek Bharate,7.4,,,,
Abhishek Brahmachari,8.3,,,,
Abhishek Chitlangia,6.8,,,,
Abhishek Gupta,5.9,Abhishek Gupta,3.4,,
Abhishek Kapoor,3.6,,,Abhishek Kapoor,6.44
Abhiyan Rajhans,5.8,,,,
Abinash,8.5,,,,
Abuzar Akhtar,4.0,,,,
Acchui,5.6,,,,
Adam Saini,5.3,,,,
Adamya,5.9,,,,
Adarsh Gourav,7.1,,,,
Addy,4.8,,,,
Adhvik Mahajan,4.0,Adhvik Mahajan,6.2,,
Adhyayan Suman,6.1,Adhyayan Suman,4.75,,
Adil Ahamad,5.5,,,,
Adil Amaan,6.0,,,,
Adil Feroz Khan,4.9,,,,
Adil Hussain,6.3625,Adil Hussain,6.449999999999999,,
Aditi,6.9,,,,
Aditi Bhagat,5.0,,,,
Aditi Bir,5.2,,,,
Aditi Rao Hydari,4.4,Aditi Rao Hydari,5.300000000000001,,
Aditya,6.2,,,,
Aditya Bal,5.3,,,,
Aditya Narayan,5.4,,,,
Aditya Pancholi,5.9,Aditya Pancholi,5.1125,,
Aditya Rawal,7.2,,,,
Aditya Roy Kapoor,6.04,,,,
Aditya Sharma,7.0,,,,
Aditya Srivastav,3.3,Aditya Srivastav,7.949999999999999,,
Afrin,3.4,,,,
Afsan,6.0,,,,
Aftab Shivdasani,4.7,Aftab Shivdasani,4.357142857142857,,
Afzal Khan,3.5,,,,
Agast Anand,3.5,,,,
Aghajani,6.3,,,,
Ahaan Jha,10.0,,,,
Ahana,6.8,,,,
Ahmareen Anjum,7.699999999999999,,,,
Ahmed Faisal Inam,4.8,,,,
Ahsaas Channa,4.6,,,,
Aida Banaji,6.4,,,,
Aisha Ahmed,6.9,,,,
Aishwarya Narkar,4.0,,,,
Aishwarya Rai Bachchan,6.05,Aishwarya Rai Bachchan,5.786666666666666,,
Aishwarya Rajesh Ash,6.1,,,,
Aishwaryaa Rajesh,6.3,,,,
Aitana Sánchez-Gijón,5.9,,,,
Ajay,4.4,,,,
Ajay Arya,4.2,,,,
Ajay Chourey,6.6,Ajay Chourey,5.6,,
Ajay Devgn,5.322857142857143,Ajay Devgn,4.994117647058823,Ajay Devgn,6.050000000000001
Ajay Gautam,7.8,,,,
Ajay Gehi,6.1,,,,
Ajay Kkhundal,7.8,,,,
Ajay Kumar Singh,5.8,,,,
Ajaykumar,5.4,,,,
Ajaz Khan,6.8,,,,
Ajit,5.84,Ajit,6.2700000000000005,,
Ajit Banerjee,6.6,Ajit Banerjee,7.4,,
Ajit Bhalla,6.0,,,,
Ajit Sinha,6.0,,,Ajit Sinha,5.4
Ajitesh Bannerjee,7.9,,,,
Ajith Kumar,4.65,,,,
Akanksha,6.6,,,,
Akanksha Puri,4.2,,,,
Akash,4.6,Akash,6.6,,
Akash Sagar Chopra,4.3,,,,
Akhil Gautam,7.9,,,Akhil Gautam,7.9
Akhil Kapur,4.0,,,,
Akhilesh,5.9,,,,
Akkash Basnet,3.5,,,,
Akshat Jain,8.4,,,,
Akshat Verma,7.6,,,Akshat Verma,6.3
Akshay Anand,3.6,Akshay Anand,4.5,Akshay Anand,4.8
Akshay Kapoor,3.9,Akshay Kapoor,5.699999999999999,,
Akshay Kumar,5.4817073170731705,Akshay Kumar,5.652941176470588,,
Akshay Oberoi,6.033333333333334,Akshay Oberoi,6.25,,
Akshay Waghmare,7.0,,,,
Akshaye Khanna,5.841666666666666,Akshaye Khanna,6.066666666666666,,
Alankar Joshi,5.6,,,,
Aleksandr Zguridi,7.1,,,,
Aleksey Fedorchenko,5.5,,,,
Ali,5.133333333333334,Ali,4.9,,
Ali Asgar,2.8,Ali Asgar,3.75,,
Ali Fazal,5.0,Ali Fazal,4.966666666666667,,
Ali Zafar,5.825,Ali Zafar,4.3,,
Alia Bhatt,6.0,Alia Bhatt,5.6000000000000005,,
Alia Khan Dar,5.4,,,,
Alieesa P Badresia,5.2,,,,
Alisha Farrer,8.2,,,,
Alka,6.4,,,,
Alka Amin,4.8,,,,
Alka Anjali,4.6,,,,
Allu Arjun,6.2,,,,
Alma S. Grey,5.0,,,,
Alok Chaturvedi,7.1,,,,
Alok Rajwade,7.8,,,,
Alpana,4.1,,,,
Aman Ullah,6.3,,,,
Aman Verma,2.4,,,,
Amanda Ooms,5.5,,,,
Amar Dutta,8.2,,,,
Amar Upadhyay,2.4,,,,
Amarasigamani,2.7,,,,
Amarjeet,4.7,Amarjeet,4.0,Amarjeet,6.966666666666666
Ambika,3.3,Ambika,6.85,,
Ambika Kamal,6.2,,,,
Ameesha Patel,3.0,Ameesha Patel,3.784615384615385,,
Ameeta,5.5,Ameeta,6.233333333333333,,
Ami Arora,6.6,,,,
Amin Gazi,2.7,Amin Gazi,5.8,,
Amit,2.7,Amit,3.4,,
Amit Bhardwaj,8.1,,,,
Amit Bhaskar,5.2,,,,
Amit Kapoor,3.1,,,,
Amit Pachori,3.9333333333333336,Amit Pachori,6.125,,
Amit Sadh,6.68,Amit Sadh,6.566666666666666,,
Amit Suryavanshi,3.6,,,Amit Suryavanshi,5.1
Amita Pathak,3.4,,,,
Amitabh Bachchan,6.183653846153846,Amitabh Bachchan,6.507692307692308,,
Amitkumar Sharma,5.5,,,,
Amitoj Mann,6.2,,,Amitoj Mann,6.2
Amiya Chakrabarty,6.9,,,Amiya Chakrabarty,6.8375
